datetime,open,high,low,close,volume,EMA_5,EMA_20
2025-09-22 09:15:00+05:30,55429.3,55620.9,55315.55,55581.2,0.0,55581.2,55581.2
2025-09-22 10:15:00+05:30,55581.95,55666.35,55532.4,55550.25,0.0,55570.88333333334,55578.25238095238
2025-09-22 11:15:00+05:30,55550.85,55582.35,55472.7,55541.15,0.0,55560.97222222223,55574.71882086167
2025-09-22 12:15:00+05:30,55540.95,55619.5,55520.2,55586.25,0.0,55569.39814814816,55575.817028398655
2025-09-22 13:15:00+05:30,55587.9,55588.25,55412.9,55480.4,0.0,55539.732098765446,55566.72969236069
2025-09-22 14:15:00+05:30,55482.6,55484.15,55215.6,55273.65,0.0,55451.03806584363,55538.81734070729
2025-09-22 15:15:00+05:30,55273.45,55320.1,55260.3,55280.7,0.0,55394.258710562426,55514.23473683041
2025-09-23 09:15:00+05:30,55248.7,55367.6,55159.0,55317.65,0.0,55368.72247370829,55495.5123809418
2025-09-23 10:15:00+05:30,55316.3,55329.15,55199.8,55214.2,0.0,55317.21498247219,55468.72072561401
2025-09-23 11:15:00+05:30,55214.85,55322.3,55181.55,55317.9,0.0,55317.44332164813,55454.356846984105
2025-09-23 12:15:00+05:30,55317.05,55581.3,55303.05,55522.85,0.0,55385.912214432086,55460.88000441419
2025-09-23 13:15:00+05:30,55522.75,55662.0,55507.0,55544.5,0.0,55438.77480962139,55468.843813517604
2025-09-23 14:15:00+05:30,55546.35,55604.2,55474.3,55512.5,0.0,55463.34987308093,55473.00154556355
2025-09-23 15:15:00+05:30,55512.2,55561.35,55496.65,55555.65,0.0,55494.11658205396,55480.87282693845
2025-09-24 09:15:00+05:30,55387.1,55511.1,55226.6,55321.5,0.0,55436.577721369315,55465.69446246812
2025-09-24 10:15:00+05:30,55322.1,55355.6,55051.85,55121.15,0.0,55331.43514757955,55432.880704137824
2025-09-24 11:15:00+05:30,55121.65,55158.35,55081.35,55156.7,0.0,55273.19009838637,55406.577779934225
2025-09-24 12:15:00+05:30,55156.15,55241.5,55118.55,55235.55,0.0,55260.64339892425,55390.28941994049
2025-09-24 13:15:00+05:30,55234.4,55283.75,55123.35,55136.2,0.0,55219.162265949504,55366.09042756521
2025-09-24 14:15:00+05:30,55136.4,55176.8,55040.45,55144.35,0.0,55194.22484396634,55344.97229160662
2025-09-24 15:15:00+05:30,55146.35,55157.0,55111.95,55131.4,0.0,55173.283229310895,55324.63207335836
2025-09-25 09:15:00+05:30,55061.65,55252.8,54993.55,55153.05,0.0,55166.5388195406,55308.29092351471
2025-09-25 10:15:00+05:30,55153.0,55191.8,55071.6,55136.4,0.0,55156.4925463604,55291.92035937045
2025-09-25 11:15:00+05:30,55136.95,55190.65,55020.2,55069.55,0.0,55127.5116975736,55270.742229906595
2025-09-25 12:15:00+05:30,55066.25,55276.65,55055.1,55216.9,0.0,55157.307798382404,55265.61439848691
2025-09-25 13:15:00+05:30,55221.0,55256.2,55137.3,55192.15,0.0,55168.92186558827,55258.61778910721
2025-09-25 14:15:00+05:30,55186.6,55204.65,54928.7,54944.9,0.0,55094.24791039219,55228.73990443033
2025-09-25 15:15:00+05:30,54946.65,54977.0,54903.3,54950.95,0.0,55046.48194026146,55202.28372305602
2025-09-26 09:15:00+05:30,54797.9,54897.0,54593.2,54650.45,0.0,54914.471293507646,55149.728130384014
2025-09-26 10:15:00+05:30,54651.95,54719.35,54538.45,54562.6,0.0,54797.180862338435,55093.81116558554
2025-09-26 11:15:00+05:30,54566.45,54593.2,54499.95,54560.55,0.0,54718.30390822563,55043.02438791073
2025-09-26 12:15:00+05:30,54560.4,54630.05,54528.4,54564.75,0.0,54667.11927215043,54997.47444620494
2025-09-26 13:15:00+05:30,54565.95,54578.45,54310.95,54372.7,0.0,54568.97951476695,54937.97211799495
2025-09-26 14:15:00+05:30,54371.3,54429.3,54324.55,54394.55,0.0,54510.83634317797,54886.21763056686
2025-09-26 15:15:00+05:30,54393.35,54422.2,54371.2,54417.35,0.0,54479.67422878531,54841.56357051287
