datetime,open,high,low,close,volume
2025-08-25 09:15:00+05:30,55147.75,55306.0,55081.0,55298.7,0
2025-08-25 09:30:00+05:30,55298.2,55304.8,55209.5,55227.25,0
2025-08-25 09:45:00+05:30,55226.55,55232.25,55125.35,55133.55,0
2025-08-25 10:00:00+05:30,55135.55,55148.1,55060.25,55076.45,0
2025-08-25 10:15:00+05:30,55076.8,55135.8,55048.4,55103.9,0
2025-08-25 10:30:00+05:30,55101.5,55126.15,55062.9,55072.65,0
2025-08-25 10:45:00+05:30,55071.35,55136.8,55062.95,55115.1,0
2025-08-25 11:00:00+05:30,55116.5,55164.3,55084.45,55111.9,0
2025-08-25 11:15:00+05:30,55112.2,55149.05,55100.05,55120.9,0
2025-08-25 11:30:00+05:30,55121.7,55179.0,55106.25,55176.6,0
2025-08-25 11:45:00+05:30,55177.1,55201.2,55113.95,55164.1,0
2025-08-25 12:00:00+05:30,55164.4,55188.2,55150.1,55183.2,0
2025-08-25 12:15:00+05:30,55183.75,55224.15,55175.25,55205.15,0
2025-08-25 12:30:00+05:30,55203.4,55224.85,55179.85,55218.35,0
2025-08-25 12:45:00+05:30,55219.4,55236.5,55196.2,55209.75,0
2025-08-25 13:00:00+05:30,55209.0,55248.65,55196.35,55240.85,0
2025-08-25 13:15:00+05:30,55241.85,55243.05,55183.6,55198.2,0
2025-08-25 13:30:00+05:30,55198.9,55221.05,55186.4,55211.1,0
2025-08-25 13:45:00+05:30,55212.2,55246.0,55193.85,55230.65,0
2025-08-25 14:00:00+05:30,55230.35,55246.05,55212.1,55219.35,0
2025-08-25 14:15:00+05:30,55219.0,55260.2,55181.4,55189.25,0
2025-08-25 14:30:00+05:30,55189.55,55193.65,55116.05,55134.7,0
2025-08-25 14:45:00+05:30,55134.8,55237.6,55122.35,55231.95,0
2025-08-25 15:00:00+05:30,55230.15,55231.35,55112.1,55121.0,0
2025-08-25 15:15:00+05:30,55122.45,55192.35,55117.0,55161.75,0
2025-08-26 09:15:00+05:30,54999.05,55068.9,54622.55,54628.35,0
2025-08-26 09:30:00+05:30,54628.85,54642.85,54478.4,54510.25,0
2025-08-26 09:45:00+05:30,54511.2,54595.65,54511.2,54588.35,0
2025-08-26 10:00:00+05:30,54588.5,54617.6,54563.45,54596.6,0
2025-08-26 10:15:00+05:30,54595.0,54619.5,54557.1,54592.75,0
2025-08-26 10:30:00+05:30,54592.25,54603.25,54555.0,54567.75,0
2025-08-26 10:45:00+05:30,54567.65,54601.3,54528.95,54597.15,0
2025-08-26 11:00:00+05:30,54596.15,54653.85,54588.9,54608.55,0
2025-08-26 11:15:00+05:30,54605.6,54717.45,54600.15,54675.8,0
2025-08-26 11:30:00+05:30,54677.3,54687.0,54612.85,54627.15,0
2025-08-26 11:45:00+05:30,54628.15,54655.4,54605.45,54654.8,0
2025-08-26 12:00:00+05:30,54656.0,54674.95,54595.45,54609.9,0
2025-08-26 12:15:00+05:30,54610.05,54639.85,54589.2,54613.4,0
2025-08-26 12:30:00+05:30,54612.35,54616.4,54556.5,54571.0,0
2025-08-26 12:45:00+05:30,54572.8,54597.7,54551.75,54588.25,0
2025-08-26 13:00:00+05:30,54589.15,54624.8,54581.15,54616.1,0
2025-08-26 13:15:00+05:30,54615.85,54643.5,54582.45,54599.55,0
2025-08-26 13:30:00+05:30,54599.45,54624.9,54585.45,54599.2,0
2025-08-26 13:45:00+05:30,54599.4,54615.55,54579.2,54588.2,0
2025-08-26 14:00:00+05:30,54589.05,54600.9,54462.7,54483.55,0
2025-08-26 14:15:00+05:30,54483.0,54545.45,54448.85,54539.4,0
2025-08-26 14:30:00+05:30,54538.9,54541.1,54472.15,54499.55,0
2025-08-26 14:45:00+05:30,54496.95,54509.65,54454.45,54459.8,0
2025-08-26 15:00:00+05:30,54459.7,54497.65,54409.2,54421.05,0
2025-08-26 15:15:00+05:30,54426.25,54478.8,54396.1,54416.45,0
2025-08-28 09:15:00+05:30,54256.0,54382.25,53924.6,53982.85,0
2025-08-28 09:30:00+05:30,53980.45,54183.7,53916.1,54041.45,0
2025-08-28 09:45:00+05:30,54042.15,54186.3,53999.2,54147.4,0
2025-08-28 10:00:00+05:30,54150.25,54209.55,54055.45,54058.3,0
2025-08-28 10:15:00+05:30,54054.95,54151.5,54004.55,54146.95,0
2025-08-28 10:30:00+05:30,54152.1,54245.5,54131.35,54179.85,0
2025-08-28 10:45:00+05:30,54178.95,54329.55,54175.55,54309.25,0
2025-08-28 11:00:00+05:30,54307.55,54353.3,54238.55,54245.0,0
2025-08-28 11:15:00+05:30,54244.35,54298.75,54232.45,54260.55,0
2025-08-28 11:30:00+05:30,54262.15,54336.8,54257.2,54295.4,0
2025-08-28 11:45:00+05:30,54295.15,54301.3,54163.35,54176.65,0
2025-08-28 12:00:00+05:30,54176.35,54214.45,54126.25,54188.1,0
2025-08-28 12:15:00+05:30,54190.6,54204.9,54099.0,54144.95,0
2025-08-28 12:30:00+05:30,54144.75,54151.45,54089.55,54092.9,0
2025-08-28 12:45:00+05:30,54091.3,54136.75,54062.6,54091.7,0
2025-08-28 13:00:00+05:30,54093.15,54094.25,53967.25,53990.15,0
2025-08-28 13:15:00+05:30,54000.35,54043.85,53988.85,54023.55,0
2025-08-28 13:30:00+05:30,54025.65,54026.1,53945.9,53981.65,0
2025-08-28 13:45:00+05:30,53984.65,53986.45,53908.8,53930.45,0
